Index,Name,Form,Pokemon,Gender,CP,HP,Atk IV,Def IV,Sta IV,IV Avg,Level Min,Level Max,Quick Move,Charge Move,Charge Move 2,Scan Date,Catch Date,Weight,Height,Lucky,Shadow/Purified,Favorite,Dust,Rank % (G),Rank # (G),Stat Product (G),Dust Cost (G),Candy Cost (G),Name (G),Form (G),Sha/Pur (G),Rank % (U),Rank # (U),Stat Product (U),Dust Cost (U),Candy Cost (U),Name (U),Form (U),Sha/Pur (U),Rank % (L),Rank # (L),Stat Product (L),Dust Cost (L),Candy Cost (L),Name (L),Form (L),Sha/Pur (L),Marked for PvP use
2298,Bulbasaur,,1,1,793,96,13,10,13,80,26,26,,,,"2023-12-20 22:21",7/6/2023,,,0,0,0,4000,31.45,2808,94.26,77000,97,Ivysaur,,0,45.13,2248,95.84,114000,241,Venusaur,Normal,0,,,,,,,,,
2299,Bulbasaur,,1,1,191,49,3,8,14,55.6,7,7,,,,"2023-12-20 22:21",8/29/2023,,,0,0,0,800,85.91,578,97.26,227200,263,Ivysaur,,0,93.92,250,98.25,255200,402,Venusaur,Normal,0,92.23,319,96.57,0,125,Venusaur,Normal,0,
2300,Bulbasaur,,1,1,630,88,3,13,14,66.7,22,22,,,,"2023-12-20 22:21",,,,0,0,0,3000,95.9,169,98.24,158000,185,Ivysaur,,0,97.26,113,98.67,185000,321,Venusaur,Normal,0,,,,,,,,,
2301,Bulbasaur,,1,1,872,98,15,12,12,86.7,28,28,,,,"2023-12-20 22:21",5/17/7072,,,0,0,0,4500,20,3277,93.63,47000,67,Ivysaur,,0,26.13,3026,95,81000,205,Venusaur,Normal,0,,,,,,,,,
2302,Bulbasaur,,1,1,892,101,13,12,13,84.4,29,29,,,,"2023-12-20 22:21",12/12/2023,,,0,0,0,5000,55.97,1804,95.49,51000,73,Ivysaur,,0,51.06,2005,96.07,80000,207,Venusaur,Normal,0,,,,,,,,,
2303,Bulbasaur,,1,1,1016,106,14,15,12,91.1,35,35,,,,"2023-12-20 22:21",6/9/2023,8.94,0.84,0,0,0,8000,99.22,33,96.77,338000,118,Bulbasaur,,0,48.21,2122,95.97,0,125,Venusaur,Normal,0,,,,,,,,,
2296,Venusaur,Normal,3,1,2171,145,15,8,14,82.2,28.5,28.5,,,,"2023-12-20 22:21",11/10/7077,,,0,0,0,4500,,,,,,,,,27.37,2975,95.06,84500,86,Venusaur,Normal,0,,,,,,,,,
2297,Venusaur,Normal,3,1,2455,152,15,15,13,95.6,33.5,33.5,,,,"2023-12-20 22:21",8/23/2023,,,0,0,0,7000,,,,,,,,,56.68,1775,96.31,14000,16,Venusaur,Normal,0,,,,,,,,,
2280,Charmander,,4,1,12,12,10,10,10,66.7,1,1,,,,"2023-12-20 22:21",7/17/7016,,,0,0,0,200,85.2,607,96.56,40000,177,Charizard,Normal,0,66.69,1365,96.49,161000,287,Charizard,Normal,0,86.84,540,96.08,4200,136,Charizard,Normal,0,
2281,Charmander,,4,1,13,12,15,14,12,91.1,1,1,,,,"2023-12-20 22:21",9/2/2023,,,0,0,0,200,41.71,2388,94.67,168000,195,Charmeleon,,0,56.09,1799,96.09,130000,255,Charizard,Normal,0,45.79,2221,91.95,35600,48,Charmander,,0,
2282,Charmander,,4,2,41,21,14,12,11,82.2,2,2,,,,"2023-12-20 22:21",9/2/2023,,,0,0,0,200,73.41,1090,95.83,37400,173,Charizard,Normal,0,21.76,3205,94.79,135600,259,Charizard,Normal,0,65.71,1405,93.29,37400,48,Charmander,,0,
2283,Charmander,,4,1,41,20,15,11,5,68.9,2,2,,,,"2023-12-20 22:21",9/2/2023,,,0,0,0,200,26.57,3008,93.92,205600,239,Charmeleon,,0,11.04,3644,94.22,147600,271,Charizard,Normal,0,56.46,1784,93.03,11600,43,Charmeleon,,0,
2284,Charmander,,4,1,154,42,13,9,15,82.2,6,6,,,,"2023-12-20 22:21",9/2/2023,,,0,0,0,600,67.47,1333,95.54,34200,165,Charizard,Normal,0,58.85,1686,96.19,138400,257,Charizard,Normal,0,52.11,1962,92.35,34200,40,Charmander,,0,
2285,Charmander,,4,1,224,49,6,13,7,57.8,9,9,,,,"2023-12-20 22:21",9/2/2023,,,0,0,0,1000,69.57,1247,96.07,242000,283,Charmeleon,,0,83.54,675,97.24,167000,287,Charizard,Normal,0,92.45,310,96.26,5300,31,Charmeleon,,0,
2286,Charmander,,4,2,304,57,1,12,2,33.3,13,13,,,,"2023-12-20 22:21",9/7/7072,,,0,0,0,1600,90.94,372,97.05,27800,153,Charizard,Normal,0,89.26,441,97.6,196800,323,Charizard,Normal,0,75.34,1011,94.01,32800,32,Charmander,,0,
2287,Charmander,,4,1,402,68,12,11,15,84.4,15,15,,,,"2023-12-20 22:21",,,,0,0,0,1900,79.54,839,96.18,14200,139,Charizard,Normal,0,75.07,1022,96.84,118400,231,Charizard,Normal,0,67.86,1317,93.43,14200,14,Charmander,,0,
2288,Charmander,,4,1,424,68,5,15,6,57.8,17,17,,,,"2023-12-20 22:21",9/2/2023,,,0,0,0,2200,82.49,718,96.86,218800,255,Charmeleon,,0,82.49,718,97.19,143800,259,Charizard,Normal,0,95.87,170,96.55,13800,12,Charmander,,0,
2289,Charmander,,4,2,464,73,13,13,15,91.1,17,17,,,,"2023-12-20 22:21",9/2/2023,,,0,0,0,2200,51.75,1977,95.16,143800,159,Charmeleon,,0,55.53,1822,96.07,98800,211,Charizard,Normal,0,49.01,2089,92.15,4400,4,Charmander,,0,
2290,Charmander,,4,1,478,71,14,3,5,48.9,19,19,,,,"2023-12-20 22:21",9/2/2023,,,0,0,0,2500,4.76,3901,91.97,0,125,Charizard,Normal,0,7.13,3804,93.92,135000,251,Charizard,Normal,0,2.03,4013,87.47,2500,2,Charmander,,0,
2291,Charmander,,4,1,500,78,1,13,11,55.6,20.5,20.5,,,,"2023-12-20 22:21",9/7/7072,,,0,0,0,2500,98.78,51,98.95,232500,271,Charmeleon,,0,97.51,103,98.48,134500,253,Charizard,Normal,0,99.85,7,98.99,0,0,Charmander,,0,
