Index,Name,Form,Pokemon,Gender,CP,HP,Atk IV,Def IV,Sta IV,IV Avg,Level Min,Level Max,Quick Move,Charge Move,Charge Move 2,Scan Date,Catch Date,Weight,Height,Lucky,Shadow/Purified,Favorite,Dust,Rank % (G),Rank # (G),Stat Product (G),Dust Cost (G),Candy Cost (G),Name (G),Form (G),Sha/Pur (G),Rank % (U),Rank # (U),Stat Product (U),Dust Cost (U),Candy Cost (U),Name (U),Form (U),Sha/Pur (U),Rank % (L),Rank # (L),Stat Product (L),Dust Cost (L),Candy Cost (L),Name (L),Form (L),Sha/Pur (L),Marked for PvP use
1047,Bulbasaur,,1,,224,52,2,15,12,64.4,8,8,,,,"2023-12-20 14:16",7/28/2023,,,0,1,0,961,98.41,66,98.83,259926,326,Ivysaur,,1,99.37,27,99.25,292326,471,Venusaur,Normal,1,99.51,21,98.33,32406,51,Bulbasaur,,1,
1048,Bulbasaur,,1,,875,101,13,14,15,93.3,28,28,,,,"2023-12-20 14:16",8/31/2023,,,0,0,0,5000,50.26,2038,95.2,47000,67,Ivysaur,,0,70.84,1195,96.91,81000,205,Venusaur,Normal,0,,,,,,,,,
1045,Ivysaur,,2,,1150,110,15,12,14,91.1,24,24,,,,"2023-12-20 14:16",8/23/2023,,,0,0,0,4000,48.52,2109,95.14,79000,70,Ivysaur,,0,23.79,3122,94.89,106000,200,Venusaur,Normal,0,,,,,,,,,
1046,Ivysaur,,2,,1191,113,12,15,15,93.3,25,25,,,,"2023-12-20 14:16",4/17/2018,,,0,0,0,4000,50.84,2014,95.22,72000,64,Ivysaur,,0,71.33,1175,96.93,106000,202,Venusaur,Normal,0,,,,,,,,,
1044,Venusaur,Normal,3,,1779,130,15,15,13,95.6,23,23,,,,"2023-12-20 14:16",8/23/2023,,,0,0,0,3500,,,,,,,,,56.68,1775,96.31,113000,106,Venusaur,Normal,0,,,,,,,,,
1028,Charmander,,4,,42,22,14,12,15,91.1,2,2,,,,"2023-12-20 14:17",9/2/2023,,,0,0,0,200,48.89,2094,95.03,174600,201,Charmeleon,,0,52.58,1943,95.96,129600,253,Charizard,Normal,0,46.57,2189,91.99,35200,46,Charmander,,0,
1035,Charmander,,4,,469,73,15,12,15,93.3,17,17,,,,"2023-12-20 14:17",8/23/2023,,,0,0,0,2200,44.84,2260,94.84,136800,151,Charmeleon,,0,63.54,1494,96.37,98800,211,Charizard,Normal,0,57.07,1759,92.7,4400,4,Charmander,,0,
1038,Charmander,,4,,500,78,1,13,11,55.6,20.5,20.5,,,,"2023-12-20 14:17",9/2/2023,,,0,0,0,3000,98.78,51,98.95,232500,271,Charmeleon,,0,97.51,103,98.48,134500,253,Charizard,Normal,0,99.85,7,98.99,0,0,Charmander,,0,
1040,Charmander,,4,,635,85,15,12,15,93.3,23,23,,,,"2023-12-20 14:16",9/2/2023,,,0,0,0,0,44.84,2260,94.84,106000,123,Charmeleon,,0,63.54,1494,96.37,68000,183,Charizard,Normal,0,,,,,,,,,
1043,Charmander,,4,,738,92,13,13,15,91.1,27,27,,,,"2023-12-20 14:16",8/14/2023,,,0,0,0,4500,51.75,1977,95.16,83000,105,Charmeleon,,0,55.53,1822,96.07,38000,157,Charizard,Normal,0,,,,,,,,,
1018,Charizard,Normal,6,,1495,117,1,12,13,57.8,19.5,19.5,,,,"2023-12-20 14:17",9/2/2023,,,0,0,0,2500,99.54,20,98.85,0,0,Charizard,Normal,0,98.22,74,98.6,139500,132,Charizard,Normal,0,,,,,,,,,
1019,Charizard,Normal,6,,2294,140,15,14,13,93.3,28,28,,,,"2023-12-20 14:17",8/23/2023,,,0,0,0,5000,,,,,,,,,56.09,1799,96.09,29000,24,Charizard,Normal,0,,,,,,,,,
1021,Charizard,Normal,6,,2500,153,0,13,15,62.2,35,35,,,,"2023-12-20 14:17",9/2/2023,,,0,0,0,0,,,,,,,,,100,1,100,0,0,Charizard,Normal,0,,,,,,,,,
1007,Squirtle,,7,,372,75,1,13,14,62.2,16,16,,,,"2023-12-20 14:18",7/7/2023,,,0,0,0,1900,98.68,55,98.19,477600,289,Wartortle,,0,99.51,21,99.25,434600,389,Blastoise,Normal,0,99.98,2,99.58,25600,23,Squirtle,,0,
1008,Squirtle,,7,,13,13,14,12,14,88.9,1,1,,,,"2023-12-20 14:18",12/11/2023,,,0,0,0,200,63.61,1491,95.37,53000,188,Blastoise,Normal,0,43.25,2325,95.18,312000,429,Blastoise,Normal,0,80.24,810,95.07,14600,49,Wartortle,,0,
1014,Squirtle,,7,,450,78,14,12,15,91.1,17,17,,,,"2023-12-20 14:17",7/23/2023,,,0,0,0,2200,63.61,1491,95.37,21800,144,Blastoise,Normal,0,57.31,1749,95.77,280800,385,Blastoise,Normal,0,20.68,3249,90.01,6600,6,Squirtle,,0,
1005,Wartortle,,8,,706,91,13,13,14,88.9,17,17,,,,"2023-12-20 14:18",8/24/2023,,,0,0,0,2200,78.56,879,95.13,291800,260,Wartortle,,0,68.28,1300,96.29,291800,360,Blastoise,Normal,0,,,,,,,,,
1001,Blastoise,Normal,9,,475,69,15,13,12,88.9,7,7,,,,"2023-12-20 14:18",7/9/2023,,,0,0,0,800,51.16,2001,94.78,48200,51,Blastoise,Normal,0,51.94,1969,95.53,307200,292,Blastoise,Normal,0,14.04,3521,88.24,0,0,Blastoise,Normal,0,
1002,Blastoise,Normal,9,,702,86,1,15,7,51.1,11,11,,,,"2023-12-20 14:18",7/9/2023,,,0,0,0,0,99.58,18,99.03,53500,55,Blastoise,Normal,0,95.68,178,98.33,478000,284,Blastoise,Normal,0,,,,,,,,,
1003,Blastoise,Normal,9,,900,100,0,13,14,60,14,14,,,,"2023-12-20 14:18",7/9/2023,,,0,0,0,1600,96.09,161,97.77,41600,40,Blastoise,Normal,0,99.98,2,99.86,455600,272,Blastoise,Normal,0,,,,,,,,,
997,Weedle,,13,,181,69,10,14,15,86.7,15,15,,,,"2023-12-20 14:18",5/9/2023,,,0,0,0,1900,66.18,1386,95.98,86400,140,Beedrill,Normal,0,98.39,67,96.61,496400,330,Beedrill,Normal,0,97.48,104,95.14,496400,268,Weedle,,0,
995,Pidgey,,16,,211,62,6,14,15,77.8,12,12,,,,"2023-12-20 14:18",9/1/2023,,,0,0,0,1300,98.63,57,98.4,69400,128,Pidgeot,Normal,0,93.6,263,94.47,505400,342,Pidgeot,Normal,0,85.57,592,95.84,10900,26,Pidgeotto,,0,
996,Pidgey,,16,,244,63,15,12,11,84.4,13,13,,,,"2023-12-20 14:18",9/19/2023,,,0,0,0,1600,41.39,2401,94.25,58800,118,Pidgeot,Normal,0,97.88,88,96.55,502800,338,Pidgeot,Normal,0,58.07,1718,93.61,6400,20,Pidgeotto,,0,
991,Ekans,,23,,413,66,14,13,13,88.9,16,16,,,,"2023-12-20 14:18",5/23/2023,,,0,0,0,1900,30.26,2857,94.1,69100,112,Arbok,,0,98.97,43,97.57,492600,314,Arbok,,0,35.36,2648,91.13,12600,12,Ekans,,0,
990,Arbok,,24,,499,71,0,13,14,60,10,10,,,,"2023-12-20 14:18",5/24/2023,,,0,0,0,0,99.88,6,99.57,110000,104,Arbok,,0,74.8,1033,90.67,510000,286,Arbok,,0,99.95,3,99.4,0,0,Arbok,,0,
983,Pikachu,Normal,25,,400,65,15,14,15,97.8,15,15,,,,"2023-12-20 14:19",10/8/2023,,,0,0,0,1900,72.04,1146,95.44,45400,92,Raichu,Normal,0,99.9,5,99.4,496400,318,Raichu,Normal,0,46.35,2198,91.75,14200,14,Pikachu,Normal,0,
989,Pikachu,Normal,25,,744,87,15,15,13,95.6,28,28,,,,"2023-12-20 14:18",9/29/2023,,,0,0,0,5000,99.85,7,99.05,419000,198,Pikachu,Normal,0,99.85,7,99.3,419000,248,Raichu,Normal,0,,,,,,,,,
969,Raichu,Normal,26,,386,56,1,14,7,48.9,7,7,,,,"2023-12-20 14:19",10/5/2023,,,0,0,0,800,99.12,37,98.29,83200,82,Raichu,Normal,0,56.26,1792,88.79,515200,292,Raichu,Normal,0,41.32,2404,91.89,2400,3,Raichu,Normal,0,
965,Sandslash,Normal,28,,31,18,2,14,14,66.7,1,1,,,,"2023-12-20 14:19",7/13/2023,,,0,0,0,200,95.92,168,97.45,65500,75,Sandslash,Normal,0,99.66,15,99.39,520000,304,Sandslash,Normal,0,99.83,8,99.46,6400,14,Sandslash,Normal,0,
964,Nidoran♀,,29,♀,734,121,14,12,13,86.7,35,35,,,,"2023-12-20 14:19",9/27/2023,,,0,0,0,0,98.32,70,95.8,338000,143,Nidorina,,0,39.85,2464,95.28,119000,243,Nidoqueen,,0,,,,,,,,,
961,Nidorina,,30,♀,630,105,7,14,15,80,18,18,,,,"2023-12-20 14:19",10/4/2023,,,0,0,0,2200,96.9,128,98.14,20400,118,Nidoqueen,,0,83.05,695,97.36,310400,356,Nidoqueen,,0,,,,,,,,,
957,Nidoran♂,,32,♂,163,52,0,11,10,46.7,8,8,,,,"2023-12-20 14:19",11/28/2023,,,0,0,0,800,99.68,14,98.91,52600,180,Nidoking,,0,99.22,33,98.86,388600,415,Nidoking,,0,97.09,120,97.64,62600,64,Nidoran♂,,0,
958,Nidoran♂,,32,♂,293,69,5,15,15,77.8,13,13,,,,"2023-12-20 14:19",9/18/2023,,,0,0,0,1600,98.53,61,98.52,502800,301,Nidorino,,0,98.12,78,98.7,283800,401,Nidoking,,0,93.48,268,97,38800,38,Nidoran♂,,0,
959,Nidoran♂,,32,♂,351,72,12,14,10,80,15,15,,,,"2023-12-20 14:19",7/19/2023,,,0,0,0,1900,96.31,152,97.79,466400,293,Nidorino,,0,51.26,1997,95.87,246400,393,Nidoking,,0,38.05,2538,91.98,26400,24,Nidoran♂,,0,
956,Clefable,,36,,706,101,1,15,12,62.2,11,11,,,,"2023-12-20 14:19",9/19/2023,,,0,0,0,0,93.55,265,97.54,50000,52,Clefable,,0,98.97,43,98.91,464000,284,Clefable,,0,,,,,,,,,
951,Vulpix,Normal,37,,59,28,4,15,14,73.3,3,3,,,,"2023-12-20 14:20",8/1/2023,,,0,0,0,400,99.17,35,98.75,71700,127,Ninetales,Normal,0,88.64,466,96.59,519200,350,Ninetales,Normal,0,97.8,91,97.24,55200,62,Vulpix,Normal,0,
952,Vulpix,Normal,37,,140,41,12,15,13,88.9,6,6,,,,"2023-12-20 14:20",10/4/2023,,,0,0,0,600,85.64,589,96.74,61900,115,Ninetales,Normal,0,98.63,57,98.61,486400,344,Ninetales,Normal,0,77.92,905,94.23,43900,48,Vulpix,Normal,0,
953,Vulpix,Normal,37,,186,49,9,13,15,82.2,8,8,,,,"2023-12-20 14:20",4/18/2023,,,0,1,0,1153,52.87,1931,94.97,70926,142,Ninetales,Normal,1,99.49,22,99.02,616326,434,Ninetales,Normal,1,92.48,309,96.05,0,50,Ninetales,Normal,1,
954,Vulpix,Normal,37,,272,57,15,12,13,88.9,11,11,,,,"2023-12-20 14:20",5/8/2023,,,0,0,0,0,19.27,3307,93.3,50000,102,Ninetales,Normal,0,97.34,110,98.18,464000,334,Ninetales,Normal,0,36.78,2590,91.01,33000,36,Vulpix,Normal,0,
955,Vulpix,Normal,37,,399,72,3,14,12,64.4,18,18,,,,"2023-12-20 14:19",12/12/2023,,,0,0,0,2200,76.61,959,96.15,36900,83,Ninetales,Normal,0,74.55,1043,94.37,484400,306,Ninetales,Normal,0,98.73,53,97.66,23400,21,Vulpix,Normal,0,
947,Ninetales,Normal,38,,153,40,0,15,9,53.3,3,3,,,,"2023-12-20 14:20",9/5/2023,,,0,0,0,400,87.42,516,96.88,75200,80,Ninetales,Normal,0,53.75,1895,92,519200,300,Ninetales,Normal,0,99.12,37,98.26,6400,11,Ninetales,Normal,0,
945,Jigglypuff,,39,,26,42,1,15,5,46.7,2,2,,,,"2023-12-20 14:20",8/22/2023,,,0,0,0,200,97.05,122,98.39,119600,170,Wigglytuff,,0,67.06,1350,88.99,519600,352,Wigglytuff,,0,98.75,52,97.54,9600,66,Wigglytuff,,0,
946,Jigglypuff,,39,,52,57,15,12,15,93.3,3,3,,,,"2023-12-20 14:20",7/15/2023,,,0,0,0,400,45.37,2238,94.56,95700,148,Wigglytuff,,0,98.88,47,97.14,519200,350,Wigglytuff,,0,31.4,2810,90.11,7200,62,Wigglytuff,,0,
940,Zubat,,41,,293,69,15,15,13,95.6,15.5,15.5,,,,"2023-12-20 14:20",4/18/2023,,,0,1,0,2280,45.62,2228,94.22,75000,103,Golbat,,1,27.45,2972,94.96,207000,346,Crobat,,1,22.98,3155,89.12,70200,73,Zubat,,1,
942,Zubat,,41,,378,84,0,15,9,53.3,24,24,,,,"2023-12-20 14:20",8/20/2023,,,0,0,0,4000,99.76,11,98.84,46000,65,Golbat,,0,99.78,10,99.46,254000,351,Crobat,,0,98.02,82,97.55,85000,76,Zubat,,0,
943,Zubat,,41,,511,95,12,13,15,88.9,28,28,,,,"2023-12-20 14:20",8/19/2023,,,0,0,0,5000,98.61,58,94.74,419000,198,Zubat,,0,47.37,2156,95.78,113000,245,Crobat,,0,,,,,,,,,
931,Oddish,,43,,508,73,11,14,14,86.7,15,15,,,,"2023-12-20 14:21",9/17/2023,,,0,0,0,1900,92.84,294,97.64,26400,149,Vileplume,,0,99.73,12,99.41,481400,393,Bellossom,,0,,,,,,,,,
932,Oddish,,43,,519,73,14,14,14,93.3,15,15,,,,"2023-12-20 14:21",9/17/2023,,,0,0,0,1900,48.38,2115,95.03,23900,147,Vileplume,,0,95.85,171,98.05,438400,393,Bellossom,,0,,,,,,,,,
933,Oddish,,43,,522,73,15,14,14,95.6,15,15,,,,"2023-12-20 14:20",12/15/2023,,,0,0,0,1900,58.19,1713,95.47,23900,147,Vileplume,,0,95.53,184,97.99,424400,393,Bellossom,,0,,,,,,,,,
934,Oddish,,43,,586,78,13,15,14,93.3,17,17,,,,"2023-12-20 14:20",12/12/2023,,,0,0,0,2200,50.01,2048,95.11,16300,139,Vileplume,,0,99.39,26,99.21,444800,385,Bellossom,,0,,,,,,,,,
927,Parasect,,47,,927,95,15,14,15,97.8,17.5,17.5,,,,"2023-12-20 14:21",5/10/2023,,,0,0,0,2200,36.97,2582,94.43,67600,60,Parasect,,0,99.9,5,99.38,486600,258,Parasect,,0,,,,,,,,,
926,Venonat,,48,,468,92,11,15,13,86.7,17,17,,,,"2023-12-20 14:21",9/17/2023,,,0,0,0,2200,47.77,2140,94.36,48800,93,Venomoth,,0,98.49,63,96.69,488800,310,Venomoth,,0,68.03,1310,93.97,4400,4,Venonat,,0,
924,Diglett,Normal,50,,204,35,14,12,13,86.7,11,11,,,,"2023-12-20 14:21",4/17/2023,,,0,0,0,0,48.38,2115,94.93,229000,292,Dugtrio,Normal,0,98.36,68,96.55,508000,334,Dugtrio,Normal,0,49.62,2064,92.18,76000,74,Diglett,Normal,0,
