Index,Name,Form,Pokemon,Gender,CP,HP,Atk IV,Def IV,Sta IV,IV Avg,Level Min,Level Max,Quick Move,Charge Move,Charge Move 2,Scan Date,Catch Date,Weight,Height,Lucky,Shadow/Purified,Favorite,Dust,Rank % (G),Rank # (G),Stat Product (G),Dust Cost (G),Candy Cost (G),Name (G),Form (G),Sha/Pur (G),Rank % (U),Rank # (U),Stat Product (U),Dust Cost (U),Candy Cost (U),Name (U),Form (U),Sha/Pur (U),Rank % (L),Rank # (L),Stat Product (L),Dust Cost (L),Candy Cost (L),Name (L),Form (L),Sha/Pur (L),Marked for PvP use
4881,Perrserker,,863,♂,1499,117,15.0,15.0,15.0,100.0,22.0,22.0,,,,2023-02-24 18:44,1/14/2023,,,0,0,0,3000,86.81%,541.0,96.99%,0.0,0.0,Perrserker,,0.0,82.66%,711.0,96.26%,290000.0,238.0,Perrserker,,0.0,,,,,,,,,
4880,Perrserker,,863,♂,1344,110,15.0,12.0,13.0,88.9,20.0,20.0,,,,2023-02-24 18:44,1/10/2023,,,0,0,0,2500,22.69%,3167.0,93.71%,11000.0,10.0,Perrserker,,0.0,64.15%,1469.0,95.17%,325000.0,248.0,Perrserker,,0.0,,,,,,,,,
4883,Obstagoon,,862,♂,2450,172,14.0,15.0,15.0,97.8,35.0,35.0,,,,2023-02-24 18:43,12/18/2022,,,0,0,0,8000,,,,,,,,,49.62%,2064.0,95.79%,16000.0,20.0,Obstagoon,,0.0,,,,,,,,,
4882,Obstagoon,,862,♂,1482,134,12.0,14.0,13.0,86.7,20.0,20.0,,,,2023-02-24 18:44,12/18/2022,,,0,0,0,2500,53.55%,1903.0,94.97%,0.0,0.0,Obstagoon,,0.0,36.07%,2619.0,95.23%,169000.0,170.0,Obstagoon,,0.0,,,,,,,,,
671,Wooloo,,831,♀,26,22,2.0,9.0,15.0,57.8,2.0,2.0,,,,2023-07-16 00:23,7/16/2023,,,0,0,0,200,94.97%,207.0,97.79%,83600.0,138.0,Dubwool,,0.0,62.74%,1527.0,89.92%,519600.0,352.0,Dubwool,,0.0,94.46%,228.0,97.13%,114600.0,116.0,Wooloo,,0.0,
700,Wooloo,,831,,498,93,13.0,4.0,11.0,62.2,27.0,27.0,,,,2023-07-16 00:18,7/16/2023,,,0,0,0,5000,75.58%,1001.0,85.90%,428000.0,206.0,Wooloo,,0.0,79.80%,828.0,91.99%,428000.0,256.0,Dubwool,,0.0,27.59%,2966.0,89.89%,0.0,0.0,Wooloo,,0.0,
550,Wooloo,,831,♀,531,98,10.0,7.0,14.0,68.9,29.0,29.0,,,,2023-07-26 22:07,7/15/2023,,,0,0,0,7000,83.39%,681.0,87.76%,410000.0,190.0,Wooloo,,0.0,85.47%,596.0,92.89%,410000.0,240.0,Dubwool,,0.0,,,,,,,,,
4884,Greedent,,820,♂,1485,172,12.0,14.0,12.0,84.4,22.5,22.5,,,,2023-02-24 18:43,11/11/2022,,,0,0,0,3000,52.43%,1949.0,94.93%,0.0,0.0,Greedent,,0.0,83.61%,672.0,96.51%,349000.0,235.0,Greedent,,0.0,,,,,,,,,
4885,Skwovet,,819,♂,796,137,14.0,11.0,14.0,86.7,31.0,31.0,,,,2023-02-24 18:43,11/10/2022,,,0,0,0,6000,97.73%,94.0,94.56%,390000.0,174.0,Skwovet,,0.0,71.67%,1161.0,95.75%,265000.0,224.0,Greedent,,0.0,,,,,,,,,
4305,Meltan,,808,,440,75,10.0,15.0,15.0,88.9,15.0,15.0,,,,2023-03-26 21:19,3/22/2023,,,0,0,0,1900,98.78%,51.0,96.24%,496400.0,268.0,Meltan,,0.0,62.56%,1534.0,96.23%,48900.0,445.0,Melmetal,,0.0,87.25%,523.0,94.88%,7600.0,8.0,Meltan,,0.0,
4886,Lunala,,792,,1687,142,12.0,11.0,12.0,77.8,15.0,15.0,,,,2023-02-24 18:43,11/4/2022,,,0,0,0,1900,,,,,,,,,45.64%,2227.0,95.36%,32400.0,30.0,Lunala,,0.0,,,,,,,,,
926,Cosmog,,789,,173,69,14.0,10.0,10.0,75.6,15.0,15.0,,,,2023-07-10 18:13,7/10/2023,,,0,0,0,1900,94.80%,214.0,93.33%,496400.0,293.0,Cosmoem,,0.0,37.70%,2552.0,95.04%,32400.0,155.0,Solgaleo,,0.0,92.97%,289.0,88.57%,496400.0,268.0,Cosmog,,0.0,
