Index,Name,Form,Pokemon,Gender,CP,HP,Atk IV,Def IV,Sta IV,IV Avg,Level Min,Level Max,Quick Move,Charge Move,Charge Move 2,Scan Date,Catch Date,Weight,Height,Lucky,Shadow/Purified,Favorite,Dust,Rank % (G),Rank # (G),Stat Product (G),Dust Cost (G),Candy Cost (G),Name (G),Form (G),Sha/Pur (G),Rank % (U),Rank # (U),Stat Product (U),Dust Cost (U),Candy Cost (U),Name (U),Form (U),Sha/Pur (U),Rank % (L),Rank # (L),Stat Product (L),Dust Cost (L),Candy Cost (L),Name (L),Form (L),Sha/Pur (L),Marked for PvP use
1,Barbaracle,,689,♀,113,31,12,5,13,66.7,2.0,2.0,,,,"2023-08-10 16:02",4/21/2023,,,0,0,0,200,5.23%,3882,92.36%,44600,54,Barbaracle,,0,35.56%,2640,95.25%,231600,248,Barbaracle,,0,95.97%,166,97.83%,4400,10,Barbaracle,,0,
2,Chespin,,650,♂,76,35,9,10,15,75.6,3.0,3.0,,,,"2023-08-10 16:02",4/17/2023,,,0,0,0,400,91.45%,351,97.36%,37000,171,Chesnaught,,0,78.46%,883,97.19%,135200,257,Chesnaught,,0,69.55%,1248,93.90%,30400,40,Chespin,,0,
3,Stunfisk,Normal,618,♀,1196,151,11,14,13,84.4,20.0,20.0,,,,"2023-08-10 16:01",1/10/2023,,,0,0,0,2500,67.06%,1350,95.63%,31000,28,Stunfisk,Normal,0,96.92%,127,96.05%,475000,248,Stunfisk,Normal,0,,,,,,,,,
4,Stunfisk,Normal,618,♀,1137,147,12,11,14,82.2,19.0,19.0,,,,"2023-08-10 16:01",8/4/2023,,,0,0,0,2500,59.88%,1644,95.25%,36000,32,Stunfisk,Normal,0,95.78%,174,95.55%,480000,252,Stunfisk,Normal,0,,,,,,,,,
5,Stunfisk,Normal,618,♂,730,121,5,6,12,51.1,13.0,13.0,,,,"2023-08-10 16:01",11/7/2022,,,0,0,0,1600,73.43%,1089,96.01%,70800,66,Stunfisk,Normal,0,43.64%,2309,87.93%,502800,276,Stunfisk,Normal,0,,,,,,,,,
6,Litwick,,607,♀,837,114,7,9,15,68.9,34.0,34.0,,,,"2023-08-10 16:01",12/17/2022,,,0,0,0,7000,70.01%,1229,96.37%,22000,51,Lampent,,0,82.83%,704,91.24%,352000,159,Lampent,,0,,,,,,,,,
7,Deerling,,585,♂,401,80,10,14,13,82.2,13.0,13.0,,,,"2023-08-10 16:00",7/19/2023,,,0,0,0,1600,50.82%,2015,94.62%,38800,88,Sawsbuck,,0,82.64%,712,97.10%,364800,326,Sawsbuck,,0,64.10%,1471,93.11%,10200,12,Deerling,,0,
8,Dwebble,,557,♀,519,78,15,12,15,93.3,15.0,15.0,,,,"2023-08-10 16:00",7/28/2023,,,0,0,0,1900,38.83%,2506,94.57%,23900,72,Crustle,,0,32.04%,2784,95.16%,226400,288,Crustle,,0,,,,,,,,,
9,Dwebble,,557,♀,855,100,13,15,13,91.1,25.0,25.0,,,,"2023-08-10 16:00",5/6/2023,,,0,0,0,4000,99.46%,23,97.72%,444000,220,Dwebble,,0,42.44%,2358,95.59%,184000,255,Crustle,,0,,,,,,,,,
10,Dwebble,,557,♂,478,77,4,15,13,71.1,15.0,15.0,,,,"2023-08-10 16:00",4/24/2023,12.63kg,0.26m,0,0,0,1900,69.38%,1255,95.98%,29400,77,Crustle,,0,97.88%,88,98.74%,322400,318,Crustle,,0,90.50%,390,95.64%,1900,2,Dwebble,,0,
